ResponseId,Q2_1,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q4_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_8_TEXT,Q11_1,Q11_2,Q11_3,Q12_2,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17,Q18,Q19
R_1rOiSMZusKkYZy0,Correctional Training Facilityﾊ(CTF),100,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,NA,1,1,1,2,2,3,0,1,0,0,0,2,1,0,1,1,1,1,1,1,"Always, or almost always","Always, or almost always",Never,Never,Never,Sometimes,"Always, or almost always",Sometimes,Never,"Here at CTF, my job site (CALPIA) provides ice weater and fans for cooler and rest periods or work will be stopped. Smoke from nearby fires creates a breathing problem for most here at the prison. in the prison facilitiy having unites there is no AN or way to cool yourself off in the cell when it hits high 90 or 100 degrees except a wet a breet (?) and place that over your body. cool or cold water is provided but mostly for ""high risk"" inmates. Anyone can get the water but it is for heat risk inmates","No, only for Covid-19",
R_BP4VEluulLO9Qel,California Health Care Facilityﾊ(CHCF),6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,mans down,1,1,1,0,4,0,1,3,3,3,1,1,0,0,0,0,0,1,0,NA,0,"Always, or almost always",Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,"I've been incarcerated now sum 30 years and I have been to all the level IV's in SQ Valley e.g. Mule Creek, Corcoran, Pleasant Valley, and CSP-LAC Lancaster. Every single prison was extraordinarily HOT and unbearable inside the cells both during the winter/summer months. During the summer the cell's routinely EXCEED 95 degrees for 30 + days streches. Staff do not provide fans/alternative cooling devices nor have then up graded any of their cooling system's located up top each housing unit in over 40 years. I have suffered ""man down"" over the brutal living conditions. I have asthma and complications that require additional medications. I have suffered an assault from an assigned cellmate OVER THE HEAT agitation inside the cell!! PLANT OP's which is a division of maintance each prison IS INSTRUCTED to SET all unit thermastat's exceedingly LOW to save energy costs e.g. winter turn off the heater's, and summer thee ""water cooled"" systems are ineffective...","Yes, the CDR must be held accountable to the pre-existing CELL TEMP's regulations!! Inmates are frequently complaining over the TEMP's inside the cell, and WHEN the temps are taken and RECORDED, then prison staff need to open cell doors, offer ICE, WATER, and record the duration of HEAT INDEX, and USE THAT INFORMATION to finance up grades to the cooling systems statewide, so that inmates no longer suffer inhuman living conditions... they refuse to actually account for SUCH DOCUMENTATION/RECORDS, and thus can IGNORE this problem!! They have know about for 10 tens now...",
R_cPdeDUt7NduhA65,Chuckawalla Valley State Prisonﾊ(CVSP),87,0,0,1,0,0,0,1,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,1,1,4,0,4,0,0,1,0,2,2,1,2,1,1,1,1,0,1,1,"Always, or almost always","Always, or almost always",Never,Sometimes,Never,"Always, or almost always","Always, or almost always",Sometimes,Don't Know,Random power outages are a problem in this prison. There are caused by storm winds or lightning strikes both of which are relatively common in this desert prison. Summer outages are the most dangerous because we lose ventilation and AC. AC system here is not the best but it keeps us cool enough in the hottest of summer months,Provide better backup power to avoid power loss,"Ques 4a) Answered yes and wrote ""mild smoke"" Ques 5c) Answered No but wrote little lines next to yes and wrote ""power outage opened doors"" Ques13 first box) marked both ""never"" and ""sometimes"""
R_1CwhQLVIbzR8qVG,Chuckawalla Valley State Prisonﾊ(CVSP),58,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,3,1,0,0,2,0,0,0,1,0,0,0,1,1,0,1,1,"Always, or almost always",Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,,,"Respondent wrote ""CUSP"" for name of prison facility//2 last box) ""In building only"" 12 last two boxes) ""dorm"" not cell and ""only mask"""
R_2wn7IIDeGjBUCcZ,California Medical Facilityﾊ(CMF),36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,no heat very cold,1,1,1,0,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,"Always, or almost always",Sometimes,Never,Never,Never,Never,Never,"Always, or almost always",Never,,Yes there should be some type of training for these emergencies. If we had an earthquake what would happen if we were trapped without water an food? Extremely worried,
R_9MrmUfTeVTINJC1,San Quentin State Prisonﾊ(SQ),168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,1,1,1,1,NA,,0,1,1,1,4,0,1,3,2,2,0,0,2,1,1,0,1,1,1,1,1,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,"Here at San Quentin there is an area where shade used to be available to find refuge from the sun. The area if as the arc building. However, this year it was recently painted yellow as an area designated out of bounds.",Not at this time,
R_2uX480mHHYhJr7x,Mule Creek State Prisonﾊ(MCSP),19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,1,0,0,1,4,1,0,0,1,1,0,0,0,0,0,0,NA,1,0,1,NA,"Always, or almost always",Never,Never,Sometimes,Don't Know,Don't Know,Never,"Always, or almost always",Never,"At Calipatrica State Prison the temperature would often, during summer, would exceed 110 degrees. I suggested that fans be exempt from a person's personal property card- that idea was denied- 2 appliances period. The most common 3 are 1. TV 2. Hot Plate 3. CD Player",That all prisons allow and exemption for one additional appliance- and make sure in extreme measures necessary remedies are in place- especially for all inmates who are more susceptible to extreme conditions. Thank you,
R_10uThuI57uDgeGS,California Institution for Menﾊ(CIM),13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,NA,NA,0,1,0,,0,1,1,2,2,2,0,2,3,3,0,0,0,0,0,0,NA,1,1,0,0,"Always, or almost always",Never,Never,Never,Never,Never,Never,Never,Never,Hot as hell in barracks. No air conditioner on A yard. Some nights super cold. Catch cold when inmates or cops singularly control heater or fans.,None,"12 second box) ""heater on and off"""
R_qIrsPcRxRHiO6Hf,California Institution for Menﾊ(CIM),17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,2,4,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,"Always, or almost always",Never,Never,Never,Sometimes,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always","Ironwood state prison (2011), Pleasant Valley (2012, 2013) extreme heat",,"12 last three boxes) underlined mask and wrote ""covid-19"""
R_sOmLCMe63K9mopP,"California State Prison, Centinelaﾊ(CEN)",58,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,NA,1,0,1,1,1,0,0,,1,1,1,0,3,0,2,3,2,1,1,0,0,1,0,0,0,1,0,1,1,"Always, or almost always",Never,Never,Sometimes,Never,Never,Never,"Always, or almost always",Sometimes,"Here at Centinela, the heat reaches up to 120 degrees. There are no ice machines on the yard or housing units. Cell sink water is always lukewarm (that is the cold) electrolights are not sold in canteen nor made available. There are no cooling stations on the yards.",,
R_Wd37dHDi5vaTI2d,"California State Prison, Centinelaﾊ(CEN)",55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,1,1,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,"Always, or almost always",Never,Never,Sometimes,Never,Never,Never,"Always, or almost always",Never,"This prison is in the desert and it gets hot. For years they left us out at yard in the summer and I was ok with that because I know how to take care of myself in 110 degree plus temperatures. But now they do not let us out if it is above 105 degrees! They say it is for us but I call B.S.. They (the C/Os) don't want us to be out there. Make us sign a waiver, saying nobody is gonna sue because of the heat and let us out. It is above a 105 four months out of the year, here at Centinela State Prison.",Don't build prisons in places were extreme weather is gonna happen,
R_1qXwVguMlvd2nKf,Folsom State Prisonﾊ(FSP),18,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,,0,1,1,0,4,0,0,0,3,3,0,0,0,0,0,0,0,1,1,1,1,"Always, or almost always",Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,Extreme temps in summer here at FSP is extreme! We have no AC or shade in the yard. No ice stations or ventilation,"AC in the buildings, ice madnatory, hot showers in winter, cold showers in summer",12) last box- N-95 mask ONLY
R_p6LKJviN1plPpUR,Folsom State Prisonﾊ(FSP),68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,1,0,,0,0,0,0,4,1,3,3,3,3,0,0,0,0,0,1,NA,1,1,1,1,"Always, or almost always","Always, or almost always",Never,Never,Never,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always",,,
R_r9JMSyz748MX17z,Correctional Training Facilityﾊ(CTF),14,0,0,0,0,0,0,0,NA,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,high blood pressure,1,1,1,0,0,1,3,3,3,3,0,0,0,0,0,0,1,1,0,1,0,"Always, or almost always",Never,Never,Never,Never,Never,Never,Sometimes,Never,"Yes now let me tell you about CRC state prison. I arrived there in September 2019 and when I walk outside from R&R it was very hot. But when I got to my assigned dorm and got inside it was so hot I dropped everything I had on the floor and passed out. I was there for two years and each summer was 6-8 long. Now mind me, they had big fans but it was extremely hot. So hot that the four fans only blew hot air say. Say it was reaching temperatures in the hundreds, everything triple digits and the staff told us all the time when we ask for ice they said that it has to reach over 98 degrees before they could give us any ice. The dorms had ""no"" air conditioning, no air vents, no nothing and for someone like my self, an elderly person and anyone else that is not for them. That place is inhumane to live in. And when the winter came, very very cold. Them old steam heaters did not do any good, it was like stepping on an ice sheet with just your cloths at the north pole. So you should send this climate survey to inmates at CRC too.","Soledad prison don't have air condition just air vents and when summer time arrives, the vents blow only hot air so yes prison like soledad CTF prison need to upgrade their venting system",
R_3NwlfY3FR0ZXSwS,Correctional Training Facilityﾊ(CTF),84,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,,0,0,0,2,4,1,0,0,0,0,0,0,1,2,0,1,1,1,0,1,1,"Always, or almost always",Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,"Always, or almost always",Never,,I believe more people in prison have gotten hurt during involuntary transfers to Non-Designated Prison Facilities (NDPF) than due to climate emergencies. Transfers to NDPF's remain an ongoing problem within CDCR,
R_r1PeuqrsvMbmbiV,Correctional Training Facilityﾊ(CTF),205,0,0,1,0,0,0,0,0,1,5,5,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,covid twice,0,1,1,0,4,2,1,1,3,3,0,0,0,0,0,0,1,1,0,1,0,"Always, or almost always",Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,"In the 17 years I have been at CTF we have had 3 fire drills. We have had one evacuation drill. On fence side in rainer hall, north yard, it is hot 24-7 and when you rover the window you get (take up) and (written up) rather your a heat meter or not. In the summer the heaters on in the winter the vent blows cold air. The Covid situation was crazy ""no medical attention other than oxygene and blood pressure with faulty equipment. During drought one shower every three days including kitchen workers, plumbers, and trash pickup. Shower times were cut to 3 minutes for a while. This is all for CTF","Become human- have some empathy- put fans in dayrooms and turn the heater on at a decent temp during the winter months. ""Supply rain jackets"" only special workers get issued rain jackets. Medication pick up in pouring rain day and night no overhang.",
R_2f0NLYyHBlUNYuN,California Health Care Facilityﾊ(CHCF),6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"asthma, metal plates wheelchair",1,1,0,1,4,2,1,2,2,1,0,0,0,1,0,0,0,1,0,NA,1,"Always, or almost always",Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,"Always, or almost always",Never,Mandatory ice for yard and in housing cells,"I would like to recommend they apply air conditions in all housing units, train people (inmates) on all climate emergencies, and clean the vents and filters (annually).",
R_22smaBjAZVLI1xC,California Health Care Facilityﾊ(CHCF),50,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,1,NA,1,1,3,1,0,0,0,0,0,0,0,0,NA,0,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Sometimes,Don't Know,Sometimes,Never,Never,"The questionnaire won't fit in the envelope. This is a medical facility. While at donovan (RID) there was a big wildfire and they almost evacuated the prison but they didn't! While at CSP ""B"" Fal., back in the 90s, they locked us in our cells and it was extremely hot!!!","Nope. Read the Cal. Govt code, regarding the power and authority of the governor, regarding the state of emergency, and the prison inmates. It's an eye opener!",8 second box) checked yes and no. 12 first box) checked yes and no
R_2SpDETvcNr8Vq1u,Central California Women's Facility(CCWF),132,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,NA,,0,0,0,0,3,1,2,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,1,NA,"Always, or almost always",Never,Never,Never,Sometimes,"Always, or almost always",Sometimes,Sometimes,Sometimes,,,
R_3fK6v48v1GQ2l5a,Central California Women's Facility(CCWF),182,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,1,0,1,2,2,2,0,0,0,0,0,0,2,2,0,1,1,1,1,1,1,Sometimes,"Always, or almost always",Never,Sometimes,Sometimes,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always",Enhance severe chronic respiratory issues. Only place I've every been at (Central CA Women's Facility),"Work needs to be done, but I have no recommendations you don't already have",
